component_id,component_name,metal_type,form_factor,industry_usage,unit_weight_kg,source_type,source_country,lead_time_days,base_price_per_kg,freight_cost_per_kg,customs_duty_percent,local_tax_percent,exchange_rate_multiplier,total_landed_cost_inr,recommended_source
0,Comp_00000,Nickel,Foil,Wearable,7.82,Local,India,8,1317.8,75.67,0.0,18,1.0,12858.383772,Import
0,Comp_00000,Nickel,Foil,Wearable,7.82,Import,South Korea,13,828.95,53.31,1.14,18,1.08,8892.667511013313,Import
1,Comp_00001,Tin,Wire,Consumer,9.39,Local,India,2,900.55,119.38,0.0,18,1.0,11301.028386,Import
1,Comp_00001,Tin,Wire,Consumer,9.39,Import,Germany,21,677.32,36.24,0.18,18,1.05,8316.649959997681,Import
2,Comp_00002,Nickel,Wire,Wearable,3.89,Local,India,6,1588.26,77.34,0.0,18,1.0,7645.43712,Import
2,Comp_00002,Nickel,Wire,Wearable,3.89,Import,Germany,16,1435.43,18.53,0.11,18,1.14,7616.691753738768,Import
3,Comp_00003,Tin,Foil,Toys,1.07,Local,India,8,1378.96,75.21,0.0,18,1.0,1836.0350420000002,Import
3,Comp_00003,Tin,Foil,Toys,1.07,Import,Japan,12,1247.96,51.66,7.27,18,1.0,1760.1936574124002,Import
4,Comp_00004,Tin,Sheet,Toys,5.72,Local,India,13,921.92,107.38,0.0,18,1.0,6947.363279999999,Local
4,Comp_00004,Tin,Sheet,Toys,5.72,Import,Japan,23,986.22,54.74,5.82,18,1.02,7583.680128820223,Local
5,Comp_00005,Copper,Sheet,Industrial,3.95,Local,India,11,1089.94,106.3,0.0,18,1.0,5575.67464,Local
5,Comp_00005,Copper,Sheet,Industrial,3.95,Import,China,22,1180.0,40.35,1.13,18,1.11,6385.08222658305,Local
6,Comp_00006,Copper,Coil,Automotive,7.75,Local,India,12,1039.1,40.44,0.0,18,1.0,9872.3933,Import
6,Comp_00006,Copper,Coil,Automotive,7.75,Import,Germany,12,726.77,45.57,6.17,18,0.96,7198.8858641376,Import
7,Comp_00007,Copper,Wire,Automotive,6.27,Local,India,8,1131.63,45.08,0.0,18,1.0,8706.006605999999,Local
7,Comp_00007,Copper,Wire,Automotive,6.27,Import,China,21,1057.42,43.3,5.1,18,1.13,9671.805745308959,Local
8,Comp_00008,Aluminum,Foil,Wearable,7.63,Local,India,8,1292.89,101.68,0.0,18,1.0,12555.871538,Import
8,Comp_00008,Aluminum,Foil,Wearable,7.63,Import,China,35,801.87,45.53,0.2,18,0.97,7415.397918650399,Import
9,Comp_00009,Nickel,Foil,Consumer,9.08,Local,India,12,1074.5,72.83,0.0,18,1.0,12292.952551999999,Import
9,Comp_00009,Nickel,Foil,Consumer,9.08,Import,Germany,16,753.79,57.14,2.32,18,0.98,8712.400479280512,Import
10,Comp_00010,Tin,Foil,Automotive,1.14,Local,India,5,1219.57,57.48,0.0,18,1.0,1717.8876599999996,Local
10,Comp_00010,Tin,Foil,Automotive,1.14,Import,China,35,1276.01,36.97,0.98,18,1.02,1819.200251997216,Local
