metal_type,form_factor,industry_usage,unit_weight_kg,source_type,lead_time_days,base_price_per_kg,freight_cost_per_kg,customs_duty_percent,local_tax_percent,exchange_rate_multiplier,cost_margin
Copper,Foil,Automotive,2.5,Local,12,1200,40,5,18,1.1,100
Tin,Sheet,Toys,1.2,Import,25,950,60,7,15,1.0,-80
Aluminum,Coil,Industrial,3.0,Local,8,1100,30,4,20,0.9,150
Nickel,Wire,Wearable,0.8,Import,18,1400,55,6,17,1.2,-120
Silver,Foil,Consumer,1.5,Local,10,2000,50,8,19,1.0,200
Copper,Sheet,Automotive,2.0,Import,20,1250,45,5,18,1.1,-90
Tin,Coil,Toys,1.0,Local,15,900,35,7,15,1.0,80
Aluminum,Wire,Industrial,2.8,Import,30,1150,70,4,20,0.8,-110
Nickel,Foil,Wearable,1.1,Local,9,1350,38,6,17,1.2,130
Silver,Sheet,Consumer,1.7,Import,22,1950,65,8,19,1.0,-180
Copper,Coil,Automotive,2.3,Local,11,1220,42,5,18,1.1,110
Tin,Wire,Toys,1.3,Import,27,970,62,7,15,1.0,-70
Aluminum,Foil,Industrial,3.2,Local,7,1120,32,4,20,0.9,160
Nickel,Sheet,Wearable,0.9,Import,19,1420,57,6,17,1.2,-130
Silver,Coil,Consumer,1.6,Local,13,2020,52,8,19,1.0,210
Copper,Wire,Automotive,2.1,Import,21,1270,47,5,18,1.1,-100
Tin,Foil,Toys,1.1,Local,16,920,37,7,15,1.0,90
Aluminum,Sheet,Industrial,2.9,Import,29,1170,72,4,20,0.8,-120
Nickel,Coil,Wearable,1.0,Local,8,1370,40,6,17,1.2,140
Silver,Wire,Consumer,1.8,Import,23,1970,67,8,19,1.0,-190
Copper,Foil,Automotive,2.6,Local,12,1210,41,5,18,1.1,105
Tin,Sheet,Toys,1.4,Import,26,960,61,7,15,1.0,-85
Aluminum,Coil,Industrial,3.1,Local,6,1110,31,4,20,0.9,155
Nickel,Wire,Wearable,0.7,Import,17,1410,54,6,17,1.2,-125
Silver,Foil,Consumer,1.9,Local,14,2010,51,8,19,1.0,205
Copper,Sheet,Automotive,2.2,Import,19,1260,46,5,18,1.1,-95
Tin,Coil,Toys,1.2,Local,17,910,36,7,15,1.0,85
Aluminum,Wire,Industrial,2.7,Import,28,1160,71,4,20,0.8,-115
Nickel,Foil,Wearable,1.2,Local,10,1360,39,6,17,1.2,135
Silver,Sheet,Consumer,1.5,Import,21,1960,66,8,19,1.0,-185
Copper,Coil,Automotive,2.4,Local,13,1230,43,5,18,1.1,115
Tin,Wire,Toys,1.0,Import,24,980,63,7,15,1.0,-75
Aluminum,Foil,Industrial,3.3,Local,5,1130,33,4,20,0.9,165
Nickel,Sheet,Wearable,1.0,Import,20,1430,58,6,17,1.2,-135
Silver,Coil,Consumer,1.7,Local,15,2030,53,8,19,1.0,215
Copper,Wire,Automotive,2.0,Import,22,1280,48,5,18,1.1,-105
Tin,Foil,Toys,1.3,Local,18,930,38,7,15,1.0,95
Aluminum,Sheet,Industrial,3.0,Import,27,1180,73,4,20,0.8,-125
Nickel,Coil,Wearable,0.8,Local,7,1380,41,6,17,1.2,145
Silver,Wire,Consumer,1.6,Import,25,1980,68,8,19,1.0,-195
Copper,Foil,Automotive,2.7,Local,14,1240,44,5,18,1.1,120
Tin,Sheet,Toys,1.5,Import,28,990,64,7,15,1.0,-95
Aluminum,Coil,Industrial,3.2,Local,4,1140,34,4,20,0.9,170
Nickel,Wire,Wearable,0.9,Import,16,1440,59,6,17,1.2,-140
Silver,Foil,Consumer,1.8,Local,16,2040,54,8,19,1.0,220
Copper,Sheet,Automotive,2.3,Import,23,1290,49,5,18,1.1,-110
Tin,Coil,Toys,1.1,Local,19,940,39,7,15,1.0,100
Aluminum,Wire,Industrial,2.8,Import,26,1190,74,4,20,0.8,-130
Nickel,Foil,Wearable,1.1,Local,11,1390,42,6,17,1.2,150
Silver,Sheet,Consumer,1.9,Import,24,1990,69,8,19,1.0,-200
